Table 1
Date ,Time,Tag ID,Species,Length,Capture Method ,Marked At,
9/23/17,9:32 AM,3D6.00184CBACD,MODU,124,Fyke ,D1.0,
9/23/17,9:33 AM,3D6.00184CBAE6,MODU,131,Fyke ,D1.0,
9/23/17,9:36 AM,3D6.00184CBB0E,CAOL,125,Fyke ,D1.0,
9/23/17,9:36 AM,3D6.00184CBB1C,MODU,119,Fyke ,D1.0,
9/23/17,9:37 AM,3D6.00184CBAF8,MICO,84,Fyke ,D1.0,
9/23/17,9:40 AM,3D6.00184CBAD6,CAOL,145,Fyke ,D1.0,
9/24/17,1:03 PM,3D6.00184CBA14,MODU,130,Fyke ,D1.0,
4/19/18,1:34 PM,3D6.00184CBA44,HYET,115,Fyke ,D1.0,
9/24/17,1:05 PM,3D6.00184CBA39,LEAU,84,Fyke ,D1.0,
9/24/17,1:09 PM,3D6.00184CBA34,MICO,257,Fyke ,D1.0,
11/12/17,10:36 AM,3D6.00184CB9FD,MODU,129,Fyke ,D1.0,
11/12/17,10:38 AM,3D6.00184CBA06,CAOL,102,Fyke ,D1.0,
11/12/17,10:40 AM,3D6.00184CBA07,LEAU,75,Fyke ,D1.0,
11/13/17,10:53 AM,3D6.00184CBA36,LEME,77,Fyke ,D1.0,
4/18/18,12:36 PM,3D6.00184CBA3B,MODU,363,Fyke ,D1.0,
4/18/18,12:40 PM,3D6.00184CBA03,MODU,240,Fyke ,D1.0,
4/18/18,12:43 PM,3D6.00184CBA0E,MODU,290,Fyke ,D1.0,
4/18/18,12:44 PM,3D6.00184CBA35,MODU,140,Fyke ,D1.0,
4/18/18,12:46 PM,3D6.00184CBA0B,MODU,140,Fyke ,D1.0,
4/18/18,12:47 PM,3D6.00184CBA25,MODU,127,Fyke ,D1.0,
4/18/18,12:49 PM,3D6.00184CB9FC,LEME,102,Fyke ,D1.0,
6/8/18,3:31 PM,3D6.00184CB901,MICO,68,Fyke ,U1.0,
5/8/18,12:58 PM,3D6.00184CB8A1,MICO,89,Fyke ,D1.0,
7/10/18,10:55 AM,3D6.00184CB916,MICO,98,Fyke ,U2.0,
7/31/18,9:52 AM,3D6.00184CB8E5,HYET,197,Electro,U1.0,
7/31/18,10:12 AM,3D6.00184CB8E9,HYET,126,Electro,U1.1,
7/31/18,11:57 AM,3D6.00184CB957,HYET,135,Electro,U1.3,
7/31/18,11:57 AM,3D6.00184CB941,HYET,137,Electro,U1.3,
7/31/18,11:58 AM,3D6.00184CB938,HYET,145,Electro,U1.3,
4/19/18,1:22 PM,3D6.00184CBA28,MODU,360,Fyke ,D1.0,
4/19/18,1:24 PM,3D6.00184CBA1B,MODU,350,Fyke ,D1.0,
4/19/18,1:25 PM,3D6.00184CBA1C,MODU,355,Fyke ,D1.0,
4/19/18,1:26 PM,3D6.00184CBA3A,MODU,295,Fyke ,D1.0,
5/11/18,11:44 AM,3D6.00184CB8AF,MICO,108,Fyke ,D1.0,
5/9/18,4:44 PM,3D6.00184CB8AA,MICO,150,Fyke ,D1.0,
5/8/18,1:08 PM,3D6.00184CB873,HYET,118,Fyke ,D1.0,
7/31/18,11:13 AM,3D6.00184CB947,HYET,181,Electro,U1.2,
7/31/18,11:13 AM,3D6.00184CB95C,HYET,151,Electro,U1.2,
5/9/18,4:10 PM,3D6.00184CB895,CAOL,70,Fyke ,U1.0,
5/11/18,12:00 PM,3D6.00184CB892,CAOL,71,Fyke ,D1.0,
5/8/18,1:44 PM,3D6.00184CB86C,CAOL,75,Fyke ,D1.0,
5/10/18,11:15 AM,3D6.00184CB8B2,CAOL,75,Fyke ,U1.0,
5/9/18,4:59 PM,3D6.00184CB86F,CAOL,77,Fyke ,D1.0,
5/8/18,1:45 PM,3D6.00184CB896,CAOL,80,Fyke ,D1.0,
5/9/18,5:04 PM,3D6.00184CB882,CAOL,80,Fyke ,D1.0,
4/20/18,11:23 AM,3D6.00184CBA40,MODU,325,Fyke ,D1.0,
4/20/18,11:25 AM,3D6.00184CBA16,MODU,340,Fyke ,D1.0,
4/20/18,11:27 AM,3D6.00184CBA57,MODU,325,Fyke ,D1.0,
7/31/18,11:14 AM,3D6.00184CB965,HYET,159,Electro,U1.2,
4/18/18,1:02 PM,3D6.00184CBA1D,MICO,177,Fyke ,D1.0,
5/22/18,9:45 AM,3D6.1D592D606B,MICO,185,Fyke ,U2.0,
5/8/18,1:12 PM,c,LEAU,70,Fyke ,D1.0,
5/8/18,1:02 PM,3D6.00184CB8A9,LEAU,105,Fyke ,D1.0,
7/31/18,12:40 PM,3D6.00184CBA88,HYET,124,Electro,U2.1,
7/31/18,12:49 PM,3D6.00184CBAB8,HYET,180,Electro,U2.2,
5/8/18,1:02 PM,3D6.00184CB875,LEAU,125,Fyke ,D1.0,
5/8/18,1:22 PM,3D6.00184CB893,CAOL,82,Fyke ,D1.0,
5/8/18,1:40 PM,3D6.00184CB8BD,CAOL,83,Fyke ,D1.0,
5/8/18,1:45 PM,3D6.00184CB86E,CAOL,84,Fyke ,D1.0,
5/11/18,11:58 AM,3D6.00184CB8BC,CAOL,85,Fyke ,D1.0,
5/8/18,12:12 PM,3D6.00184CBA15,CAOL,89,Fyke ,U1.0,
5/8/18,1:36 PM,3D6.00184CB874,CAOL,87,Fyke ,D1.0,
5/8/18,1:37 PM,3D6.00184CB898,CAOL,87,Fyke ,D1.0,
5/8/18,12:21 PM,3D6.00184CB89A,CAOL,95,Fyke ,U1.0,
5/8/18,1:35 PM,3D6.00184CB8B3,CAOL,90,Fyke ,D1.0,
5/8/18,1:41 PM,3D6.00184CB88C,CAOL,90,Fyke ,D1.0,
5/9/18,5:02 PM,3D6.00184CB8A6,CAOL,90,Fyke ,D1.0,
5/9/18,5:02 PM,3D6.00184CB88F,CAOL,90,Fyke ,D1.0,
7/10/18,10:08 AM,3D6.00184CB8F1,CAOL,95,Fyke ,U1.0,
4/19/18,1:39 PM,3D6.00184CBA00,CAOL,91,Fyke ,D1.0,
5/11/18,12:00 PM,3D6.00184CB977,CAOL,91,Fyke ,D1.0,
5/11/18,12:01 PM,3D6.00184CB97E,CAOL,91,Fyke ,D1.0,
5/10/18,10:28 AM,3D6.00184CB86D,CAOL,92,Fyke ,D1.0,
5/11/18,11:57 AM,3D6.00184CB8AB,CAOL,92,Fyke ,D1.0,
5/8/18,12:59 PM,3D6.00184CB8C1,MICO,195,Fyke ,D1.0,
7/31/18,12:50 PM,3D6.00184CBA80,HYET,145,Electro,U2.2,
5/9/18,4:49 PM,3D6.00184CB87A,MODU,135,Fyke ,D1.0,
5/9/18,4:49 PM,3D6.00184CB8A2,LEME,105,Fyke ,D1.0,
4/19/18,1:38 PM,3D6.00184CBA2C,CAOL,95,Fyke ,D1.0,
5/9/18,4:58 PM,3D6.00184CB8A5,CAOL,95,Fyke ,D1.0,
5/9/18,4:58 PM,3D6.00184CB886,CAOL,95,Fyke ,D1.0,
5/10/18,10:35 AM,3D6.00184CB8B5,CAOL,95,Fyke ,D1.0,
5/11/18,11:53 AM,3D6.00184CB880,CAOL,95,Fyke ,D1.0,
7/11/18,1:11 PM,3D6.00184CB959,CAOL,97,Fyke ,U1.0,
7/11/18,1:07 PM,3D6.00184CB952,CAOL,99,Fyke ,U1.0,
4/19/18,1:39 PM,3D6.00184CB9FB,CAOL,96,Fyke ,D1.0,
5/10/18,10:35 AM,3D6.00184CB8A3,CAOL,96,Fyke ,D1.0,
5/10/18,10:36 AM,3D6.00184CB8C5,CAOL,96,Fyke ,D1.0,
5/11/18,11:54 AM,3D6.00184CB869,CAOL,96,Fyke ,D1.0,
5/8/18,12:19 PM,3D6.00184CB884,CAOL,100,Fyke ,U1.0,
5/9/18,4:06 PM,3D6.00184CB8A8,CAOL,105,Fyke ,U1.0,
4/19/18,1:39 PM,3D6.00184CBA41,CAOL,98,Fyke ,D1.0,
5/8/18,1:40 PM,3D6.00184CB88D,CAOL,98,Fyke ,D1.0,
5/9/18,5:00 PM,3D6.00184CB8BE,CAOL,98,Fyke ,D1.0,
5/9/18,5:03 PM,3D6.00184CB8AE,CAOL,98,Fyke ,D1.0,
4/19/18,1:38 PM,3D6.00184CB9FF,CAOL,99,Fyke ,D1.0,
4/19/18,1:38 PM,3D6.00184CBA3F,CAOL,99,Fyke ,D1.0,
5/8/18,1:31 PM,3D6.00184CB89C,CAOL,99,Fyke ,D1.0,
5/9/18,4:54 PM,3D6.00184CB879,CAOL,99,Fyke ,D1.0,
5/9/18,4:55 PM,3D6.00184CB8A0,CAOL,99,Fyke ,D1.0,
5/8/18,12:18 PM,3D6.00184CB897,CAOL,109,Fyke ,U1.0,
4/19/18,1:30 PM,3D6.00184CBA09,MICO,198,Fyke ,D1.0,
4/18/18,12:52 PM,3D6.00184CBA2D,MICO,205,Fyke ,D1.0,
7/31/18,12:50 PM,3D6.00184CBAA4,HYET,140,Electro,U2.2,
5/11/18,10:50 AM,3D6.00184CB891,CAOL,112,Fyke ,U1.0,
4/19/18,1:39 PM,3D6.00184CBA3D,CAOL,103,Fyke ,D1.0,
5/8/18,1:21 PM,3D6.00184CB87E,CAOL,105,Fyke ,D1.0,
5/9/18,4:58 PM,3D6.00184CB8C2,CAOL,105,Fyke ,D1.0,
5/10/18,10:36 AM,3D6.00184CB871,CAOL,105,Fyke ,D1.0,
5/11/18,11:58 AM,3D6.00184CB881,CAOL,105,Fyke ,D1.0,
5/11/18,11:59 AM,3D6.00184CB88A,CAOL,105,Fyke ,D1.0,
5/11/18,10:49 AM,3D6.00184CB8BF,CAOL,116,Fyke ,U1.0,
5/11/18,11:59 AM,3D6.00184CB8C4,CAOL,106,Fyke ,D1.0,
5/10/18,10:28 AM,3D6.00184CB8B9,CAOL,107,Fyke ,D1.0,
5/9/18,4:59 PM,3D6.00184CB8C6,CAOL,108,Fyke ,D1.0,
5/8/18,1:25 PM,3D6.00184CB89E,CAOL,109,Fyke ,D1.0,
5/25/18,10:07 AM,3D6.1D592D606C,CAOL,118,Fyke ,U1.0,
5/8/18,1:36 PM,3D6.00184CB887,CAOL,110,Fyke ,D1.0,
5/8/18,1:41 PM,3D6.00184CB8B6,CAOL,110,Fyke ,D1.0,
6/7/18,2:00 PM,3D6.1D592D604A,HYET,123,Fyke ,D1.0,
6/7/18,2:01 PM,3D6.1D592D607F,HYET,125,Fyke ,D1.0,
5/9/18,5:01 PM,3D6.00184CB8B1,CAOL,111,Fyke ,D1.0,
5/11/18,11:54 AM,3D6.00184CB8C0,CAOL,111,Fyke ,D1.0,
6/7/18,2:04 PM,3D6.1D592D607A,CAOL,111,Fyke ,D1.0,
7/17/18,10:30 AM,3D6.00184CB92A,LEME,135,Seine,D1.0,
7/17/18,10:32 AM,3D6.00184CB8CD,LEAU,105,Seine,D1.0,
7/17/18,10:33 AM,3D6.00184CB91B,LEAU,160,Seine,D1.0,
7/17/18,10:34 AM,3D6.00184CB90A,LEAU,68,Seine,D1.0,
7/17/18,10:34 AM,3D6.00184CB8FD,LEAU,94,Seine,D1.0,
7/17/18,10:35 AM,3D6.00184CB92C,LEAU,98,Seine,D1.0,
7/17/18,10:36 AM,3D6.00184CB928,MODU,193,Seine,D1.0,
7/17/18,10:41 AM,3D6.00184CB910,LEAU,75,Seine,D1.0,
7/17/18,10:42 AM,3D6.00184CB8CC,LEAU,70,Seine,D1.0,
4/20/18,11:27 AM,3D6.00184CBA46,HYET,129,Fyke ,D1.0,
7/14/17,12:07 PM,3D6.00184CE0A9,CAOL,155,Fyke ,U1.0,
7/14/17,12:08 PM,3D6.00184CE0DB,LEAU,166,Fyke ,U1.0,
7/14/17,12:09 PM,3D6.00184CE0E9,LEAU,179,Fyke ,U1.0,
7/14/17,12:09 PM,3D6.00184CE0B2,LEAU,177,Fyke ,U1.0,
7/14/17,12:11 PM,3D6.00184CBAC1,CAOL,110,Fyke ,U1.0,
7/14/17,12:11 PM,3D6.00184CBAE3,CAOL,135,Fyke ,U1.0,
7/14/17,12:13 PM,3D6.00184CBAD5,CAOL,158,Fyke ,U1.0,
7/14/17,10:02 AM,3D6.00184CE0A2,HYET,140,Fyke ,D1.0,
7/14/17,12:13 PM,3D6.00184CBAED,CAOL,130,Fyke ,U1.0,
7/14/17,12:13 PM,3D6.00184CBB0C,MICO,170,Fyke ,U1.0,
7/14/17,12:15 PM,3D6.00184CBAD9,LEME,111,Fyke ,U1.0,
4/18/18,1:04 PM,3D6.00184CBA4B,HYET,150,Fyke ,D1.0,
7/14/17,12:17 PM,3D6.00184CBAE2,CAOL,107,Fyke ,U1.0,
7/15/17,12:34 PM,3D6.00184CBAD8,MODU,241,Fyke ,U1.0,
7/15/17,12:35 PM,3D6.00184CBAF2,LEAU,128,Fyke ,U1.0,
4/18/18,1:06 PM,3D6.00184CBA2A,HYET,155,Fyke ,D1.0,
7/15/17,12:37 PM,3D6.00184CBAC5,LEAU,174,Fyke ,U1.0,
7/15/17,12:37 PM,3D6.00184CBB0B,LEAU,158,Fyke ,U1.0,
9/23/17,10:23 AM,3D6.00184CBB1D,MODU,216,Fyke ,U1.0,
9/23/17,10:25 AM,3D6.00184CBAC3,MODU,292,Fyke ,U1.0,
9/23/17,10:27 AM,3D6.00184CBB14,MODU,264,Fyke ,U1.0,
9/23/17,10:31 AM,3D6.00184CBA0C,MODU,306,Fyke ,U1.0,
9/23/17,10:32 AM,3D6.00184CBA23,MODU,245,Fyke ,U1.0,
9/23/17,10:34 AM,3D6.00184CBA33,MICO,208,Fyke ,U1.0,
9/23/17,10:37 AM,3D6.00184CB9F9,LEAU,175,Fyke ,U1.0,
9/23/17,10:38 AM,3D6.00184CB9F7,LEAU,173,Fyke ,U1.0,
9/23/17,10:39 AM,3D6.00184CBA04,LEME,127,Fyke ,U1.0,
9/23/17,10:41 AM,3D6.00184CBA43,MODU,148,Fyke ,U1.0,
9/23/17,10:41 AM,3D6.00184CBA59,LEAU,157,Fyke ,U1.0,
9/23/17,10:42 AM,3D6.00184CBA2E,LEAU,125,Fyke ,U1.0,
9/23/17,10:44 AM,3D6.00184CBA4D,LEAU,105,Fyke ,U1.0,
9/23/17,10:46 AM,3D6.00184CBA3E,LEAU,79,Fyke ,U1.0,
9/23/17,10:48 AM,3D6.00184CBA56,LEAU,71,Fyke ,U1.0,
9/23/17,10:49 AM,3D6.00184CBA4A,LEAU,78,Fyke ,U1.0,
9/23/17,10:49 AM,3D6.00184CBA4F,LEAU,80,Fyke ,U1.0,
9/24/17,2:25 PM,3D6.00184CBA1F,MICO,167,Fyke ,U1.0,
4/18/18,1:05 PM,3D6.00184CBA30,HYET,159,Fyke ,D1.0,
9/24/17,2:29 PM,3D6.00184CBA21,LEAU,85,Fyke ,U1.0,
9/24/17,2:29 PM,3D6.00184CBA54,LEAU,71,Fyke ,U1.0,
9/24/17,2:30 PM,3D6.00184CBA17,LEAU,77,Fyke ,U1.0,
9/24/17,2:30 PM,3D6.00184CBA27,LEAU,105,Fyke ,U1.0,
11/11/17,10:36 AM,3D6.00184CBA3C,MODU,254,Fyke ,U1.0,
11/11/17,10:38 AM,3D6.00184CB9F8,LEAU,87,Fyke ,U1.0,
11/12/17,11:13 AM,3D6.00184CBA05,LEAU,116,Fyke ,U1.0,
11/12/17,11:14 AM,3D6.00184CBA58,CAOL,145,Fyke ,U1.0,
11/12/17,11:16 AM,3D6.00184CBA53,CAOL,105,Fyke ,U1.0,
11/12/17,11:17 AM,3D6.00184CB9F6,CAOL,125,Fyke ,U1.0,
11/13/17,11:35 AM,3D6.00184CBA10,LEAU,122,Fyke ,U1.0,
6/8/18,3:34 PM,3D6.00184CB922,LEAU,61,Fyke ,U1.0,
5/25/18,10:16 AM,3D6.1D592D6041,LEME,63,Fyke ,U1.0,
4/19/18,2:14 PM,3D6.00184CBA12,MODU,330,Fyke ,U1.0,
4/19/18,2:16 PM,3D6.00184CBA37,MODU,332,Fyke ,U1.0,
4/19/18,2:18 PM,3D6.00184CBA31,MODU,354,Fyke ,U1.0,
5/25/18,10:11 AM,3D6.1D592D6074,LEAU,63,Fyke ,U1.0,
5/22/18,9:01 AM,3D6.1D592D6067,LEAU,65,Fyke ,U1.0,
5/8/18,1:32 PM,3D6.00184CB86A,CAOL,112,Fyke ,D1.0,
7/11/18,1:10 PM,3D6.00184CB95B,CAOL,118,Fyke ,U1.0,
5/8/18,12:14 PM,3D6.00184CB89F,CAOL,119,Fyke ,U1.0,
5/8/18,1:30 PM,3D6.00184CB885,CAOL,115,Fyke ,D1.0,
5/11/18,11:55 AM,3D6.00184CB8B4,CAOL,115,Fyke ,D1.0,
5/11/18,11:53 AM,3D6.00184CB8B7,CAOL,116,Fyke ,D1.0,
7/11/18,1:10 PM,3D6.00184CB989,CAOL,121,Fyke ,U1.0,
7/11/18,1:07 PM,3D6.00184CB98E,CAOL,122,Fyke ,U1.0,
5/9/18,4:02 PM,3D6.00184CB899,MODU,280,Fyke ,U1.0,
5/8/18,12:17 PM,3D6.00184CB89D,CAOL,125,Fyke ,U1.0,
5/9/18,4:56 PM,3D6.00184CB8B8,CAOL,119,Fyke ,D1.0,
5/9/18,4:05 PM,3D6.00184CB866,CAOL,125,Fyke ,U1.0,
5/11/18,11:56 AM,3D6.00184CB8B0,CAOL,120,Fyke ,D1.0,
5/22/18,8:59 AM,3D6.1D592D602F,CAOL,125,Fyke ,U1.0,
6/8/18,3:28 PM,3D6.1D592D607E, CAOL,125,Fyke ,U1.0,
5/8/18,1:26 PM,3D6.00184CB89B,CAOL,124,Fyke ,D1.0,
7/10/18,10:08 AM,3D6.00184CB8FA,CAOL,125,Fyke ,U1.0,
7/11/18,1:11 PM,3D6.00184CB97D,CAOL,125,Fyke ,U1.0,
5/22/18,8:54 AM,3D6.1D592D6061,MODU,365,Fyke ,U1.0,
